	ID	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17
	1	n	n	y	y	y	y	n	n	y	y	n	y	y	y	n	y	r
	2	y	n	y	y	y	y	y	y	n	y	n	y	n	y	y	y	r
	3	n	y	y	n	y	u	y	n	n	y	y	n	y	n	y	y	d
	4	y	n	y	n	y	y	n	n	n	n	n	n	n	n	n	y	d
	5	n	y	n	y	y	y	n	n	n	n	y	y	y	y	n	n	r
	6	y	y	y	n	y	y	n	y	n	n	y	n	y	n	y	y	d
	7	n	y	y	n	n	n	y	y	y	y	y	n	n	n	y	y	d
	8	n	n	n	n	y	y	y	n	n	n	n	y	y	y	n	y	d
	9	y	y	y	n	n	n	y	y	y	y	y	n	n	n	n	y	d
	10	n	y	y	n	n	y	y	y	n	y	y	n	y	y	n	u	d
	11	n	n	y	y	n	n	y	y	y	y	n	n	n	y	y	y	r
	12	n	y	y	n	y	y	n	y	n	n	n	n	n	n	n	y	d
	13	n	u	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	14	y	y	n	n	y	y	n	n	n	n	y	y	y	y	y	n	d
	15	y	n	y	n	n	n	y	y	y	y	y	n	n	y	y	y	d
	16	y	y	y	n	y	y	y	y	n	y	y	n	n	n	y	u	d
	17	y	y	y	n	n	n	y	y	y	y	n	n	y	n	n	y	d
	18	n	u	y	n	n	n	y	y	y	y	y	n	n	y	y	y	d
	19	y	y	y	n	n	n	n	y	y	n	y	n	n	n	y	y	d
	20	n	y	y	n	n	y	y	y	y	n	u	n	n	n	n	y	d
	21	y	n	y	n	n	y	y	y	y	y	y	n	n	n	n	y	d
	22	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	23	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y	r
	24	n	n	n	y	y	y	n	n	n	y	u	y	y	y	n	n	r
	25	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	26	n	y	n	y	u	y	n	n	n	y	n	y	y	y	n	n	r
	27	y	n	y	n	u	n	y	y	y	y	n	y	n	u	y	y	d
	28	y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	u	d
	29	y	y	y	n	n	n	y	y	u	y	n	n	n	n	y	u	d
	30	n	y	y	n	y	y	n	n	n	y	y	y	y	y	n	u	d
	31	n	u	n	n	n	y	y	y	y	y	n	n	n	y	n	u	d
	32	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	33	n	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y	d
	34	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	d
	35	n	y	n	y	y	y	n	n	n	y	n	u	y	y	n	n	r
	36	n	n	y	n	n	y	y	y	y	n	y	n	n	n	y	y	d
	37	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	38	n	u	y	n	y	y	n	y	n	n	y	n	n	n	n	u	d
	39	n	n	y	n	n	n	y	y	y	n	n	n	n	y	y	y	d
	40	n	y	n	y	y	y	n	n	n	n	n	y	y	u	n	y	r
	41	y	n	y	n	n	y	y	y	n	y	y	n	y	y	y	y	d
	42	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	43	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	44	y	n	n	n	y	y	y	n	n	y	y	n	n	y	n	y	d
	45	n	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y	d
	46	y	y	y	y	n	n	y	y	y	y	y	n	n	y	n	y	r
	47	n	u	n	y	y	y	n	n	n	n	n	y	y	y	n	u	r
	48	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	49	y	n	y	n	n	y	y	y	n	n	n	y	y	n	n	y	d
	50	n	y	y	y	y	y	n	n	n	y	n	y	y	y	n	y	r
	51	n	n	n	y	y	y	n	n	n	n	n	y	y	y	y	n	r
	52	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	u	r
	53	y	n	n	n	y	y	n	n	n	n	y	y	n	y	n	y	d
	54	n	y	y	n	y	y	n	n	n	n	y	n	n	n	y	u	d
	55	n	y	n	y	y	y	n	n	n	y	n	y	u	y	n	n	r
	56	n	n	y	n	n	y	y	y	y	y	n	n	n	y	u	y	d
	57	y	y	y	n	y	y	n	y	y	y	y	n	n	n	n	y	d
	58	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y	d
	59	n	y	n	n	y	y	n	n	u	n	n	y	y	y	n	y	d
	60	n	y	n	y	y	y	n	n	n	y	y	y	y	n	n	y	r
	61	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	62	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	d
	63	y	n	y	n	y	y	y	n	y	y	n	n	y	y	n	u	d
	64	n	y	y	n	n	n	y	y	y	n	n	n	y	n	u	u	d
	65	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	66	n	n	n	n	n	n	y	y	y	y	n	y	y	y	y	y	d
	67	y	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y	d
	68	y	y	y	n	y	y	n	y	n	y	y	n	y	y	y	y	d
	69	n	u	u	u	u	u	u	u	u	u	u	u	u	y	u	u	r
	70	y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	u	d
	71	n	n	y	y	y	y	y	y	y	y	n	y	y	y	y	y	r
	72	n	y	n	y	y	y	n	n	n	n	n	y	u	u	n	u	r
	73	n	u	y	n	n	y	y	y	y	y	n	n	n	y	y	y	d
	74	y	y	n	y	y	y	n	n	n	y	n	n	y	y	n	y	r
	75	n	y	n	y	y	y	n	n	n	n	y	y	n	y	n	n	d
	76	n	y	n	y	y	y	n	n	n	n	n	n	y	y	u	y	r
	77	y	y	y	n	u	n	y	y	y	y	n	n	n	n	y	u	d
	78	y	u	n	y	y	y	n	y	n	n	n	y	y	y	n	y	r
	79	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	80	u	u	u	u	n	y	n	y	y	n	n	y	y	n	n	u	r
	81	n	n	n	y	y	y	y	n	n	y	n	y	y	y	n	y	r
	82	u	u	u	n	n	n	y	y	y	y	n	n	y	n	y	y	d
	83	y	n	y	n	n	y	y	y	y	y	y	n	n	n	y	y	d
	84	y	n	y	n	n	n	y	y	y	u	y	n	n	n	y	u	d
	85	y	y	y	n	y	y	n	n	n	n	y	u	y	y	y	y	d
	86	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	r
	87	n	y	y	n	n	y	y	y	y	n	y	n	n	y	y	y	d
	88	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n	r
	89	y	y	y	n	n	y	y	y	y	y	y	n	y	y	y	y	d
	90	n	u	y	n	n	y	y	y	n	y	n	n	n	n	y	u	d
	91	n	y	n	y	y	y	n	n	n	y	n	y	y	u	n	u	r
	92	y	u	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	93	y	n	y	n	n	n	n	y	y	y	n	n	n	n	y	y	d
	94	y	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y	d
	95	y	u	y	n	n	n	y	y	y	n	n	n	n	n	y	u	d
	96	y	y	y	y	y	n	y	n	n	n	n	y	y	y	n	y	r
	97	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	r
	98	y	y	y	y	y	y	y	y	n	y	n	n	y	y	n	y	r
	99	y	n	y	n	n	n	y	y	u	y	y	y	n	y	n	y	d
	100	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n	r
	101	y	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y	r
	102	n	y	n	y	y	y	u	n	n	n	n	u	y	y	n	n	r
